Fecha,TSS,hrv,mmp5,rHRM,kjkg,hm,hrv_post
2024-08-18,140,76,0,48,22,1,254,53
2024-08-19,72,83,0,47,1,2,118,66
2024-08-20,118,75,257,47,18,4,128,52
2024-08-21,122,83,0,43,18,7,139,58
2024-08-22,133,77,263,44,12,9,227,53
2024-08-23,180,77,0,47,14,9,260,38
2024-08-24,0,76,231,41,0,0,72
2024-08-25,0,65,0,48,0,0,61
2024-08-26,0,73,0,48,0,0,69
2024-08-27,0,74,265,49,0,0,70
2024-08-28,65,78,0,47,11,6,124,62
2024-08-29,94,66,271,50,13,9,129,52
2024-08-30,160,76,0,44,14,1,262,38
2024-08-31,140,79,0,45,26,4,116,55
2024-09-01,95,81,235,44,15,4,137,64
2024-09-02,65,87,0,44,1,3,136,69
2024-09-03,161,85,270,46,24,268,42
2024-09-04,113,79,0,48,17,1,144,55
2024-09-05,115,76,270,49,9,9,231,53
2024-09-06,165,79,0,48,14,1,276,39
2024-09-07,197,80,230,46,33,4,122,40
2024-09-08,97,81,0,44,15,3,140,64
2024-09-09,74,86,0,47,1,4,123,68
2024-09-10,172,83,256,47,25,5,267,41
2024-09-11,110,79,0,50,16,8,142,55
2024-09-12,152,79,283,49,12,6,241,39
2024-09-13,167,78,0,50,14,1,264,39
2024-09-14,233,88,230,42,41,8,119,35
2024-09-15,106,84,0,43,17,9,223,58
2024-09-16,82,82,0,48,2,121,65
2024-09-17,144,87,258,42,24,6,243,60
2024-09-18,116,85,0,44,18,7,132,59
2024-09-19,140,85,251,47,13,1,243,59
2024-09-20,169,86,0,44,13,9,249,43
2024-09-21,243,82,231,47,43,4,116,32
2024-09-22,128,83,0,45,19,4,140,58
2024-09-23,82,84,0,44,1,8,125,67
2024-09-24,149,80,257,49,23,9,256,56
2024-09-25,133,82,0,47,21,6,135,57
2024-09-26,130,83,183,45,10,9,237,58
2024-09-27,98,84,0,45,1,1,112,67
2024-09-28,311,86,231,43,53,7,258,34
2024-09-29,118,76,0,45,19,7,133,53
2024-09-30,84,83,0,43,1,9,120,66
2024-10-01,158,74,273,45,25,2,252,37
2024-10-02,138,85,0,44,22,138,59
2024-10-03,154,75,183,48,12,8,241,37
2024-10-04,109,81,0,44,1,5,121,56
2024-10-05,301,74,235,44,52,4,254,29
2024-10-06,130,85,0,41,21,8,132,59
2024-10-07,83,89,0,39,1,9,113,71
2024-10-08,163,88,226,41,25,7,262,44
2024-10-09,131,82,0,47,21,3,136,57
2024-10-10,145,79,208,47,10,9,221,55
2024-10-11,109,79,0,45,1,5,112,55
2024-10-12,222,62,0,47,39,249,24
2024-10-13,189,75,0,44,34,5,238,37
2024-10-14,63,81,0,47,1,1,133,64
2024-10-15,97,77,180,44,12,7,126,61
2024-10-16,72,79,0,47,11,145,63
2024-10-17,115,78,267,45,1,7,117,54
2024-10-18,112,78,0,42,1,8,116,54
2024-10-19,291,63,233,44,50,8,257,25
2024-10-20,63,82,0,43,11,4,123,65
2024-10-21,104,82,0,42,1,7,123,57
